time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-30T23:43:31.857Z,5.5519,127.3048,161.76,4.3,mb,,122,2.283,0.59,us,us70006ew5,2020-02-19T18:58:25.040Z,"153km SE of Pondaguitan, Philippines",earthquake,9.4,5.5,0.105,26,reviewed,us,us
2019-11-30T23:40:18.785Z,-4.5951,102.2283,42.56,4.7,mb,,86,2.984,0.87,us,us70006ew4,2020-02-19T18:58:25.040Z,"87km S of Bengkulu, Indonesia",earthquake,8,3.6,0.086,41,reviewed,us,us
2019-11-30T23:38:49.159Z,35.13483333,-95.36733333,6.2,2.73,ml,24,130,0.1070789874,0.17,ok,ok2019xmfg,2020-02-19T18:58:25.040Z,"0km NE of Quinton, Oklahoma",earthquake,,0.5,0.3,9,reviewed,ok,ok
2019-11-30T23:32:15.547Z,55.4539,-158.821,47.4,2.5,ml,,,,0.44,ak,ak019fcrdrxz,2020-02-19T18:58:02.040Z,"87km NNE of Chernabura Island, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-11-30T22:24:24.351Z,65.8264,-150.8616,8.6,3,ml,,,,0.6,ak,ak019fcqqncm,2020-02-19T18:58:25.040Z,"92km NE of Tanana, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-30T21:33:24.848Z,56.4511,-147.8918,17.14,3.2,ml,,193,2.885,0.37,us,us70006ew9,2020-02-19T18:58:25.040Z,"Gulf of Alaska",earthquake,8.9,8.3,0.045,66,reviewed,us,us
2019-11-30T21:04:07.370Z,-7.3322,123.9489,576.66,4.3,mb,,39,2.133,0.77,us,us60006pg1,2020-02-19T18:57:59.040Z,"185km NE of Palue, Indonesia",earthquake,14.3,12.5,0.188,8,reviewed,us,us
2019-11-30T20:56:14.659Z,-20.2609,-175.3423,196.12,4.4,mb,,147,5.237,0.86,us,us60006pg0,2020-02-19T18:57:59.040Z,"97km N of Nuku`alofa, Tonga",earthquake,15.1,13.6,0.127,18,reviewed,us,us
2019-11-30T20:53:51.845Z,41.5073,19.484,10,4.4,mb,,41,0.936,0.87,us,us70006euy,2020-02-19T18:58:25.040Z,"19km NNW of Shijak, Albania",earthquake,4.9,1.9,0.12,20,reviewed,us,us
2019-11-30T20:40:59.433Z,54.453,-161.2714,20.06,2.6,ml,,193,0.777,0.6,us,us60006qvz,2020-02-19T18:58:02.040Z,"110km SSW of Sand Point, Alaska",earthquake,3.4,12.9,0.097,14,reviewed,us,us
2019-11-30T20:33:25.956Z,-5.0847,153.5531,60.37,4.4,mb,,119,1.644,0.69,us,us60006pfz,2020-02-19T18:57:59.040Z,"89km SE of Taron, Papua New Guinea",earthquake,8.9,9.3,0.179,9,reviewed,us,us
2019-11-30T20:00:11.680Z,19.1323,-67.2686,23,3.1,md,13,289,0.6832,0.42,pr,pr2019334013,2020-02-19T18:58:26.040Z,"61km NNW of Isabela, Puerto Rico",earthquake,1.8,28.14,0.14,10,reviewed,pr,pr
2019-11-30T19:52:40.706Z,-26.6111,178.3264,614.01,5.5,mww,,17,4.226,0.91,us,us70006eu5,2020-02-19T18:58:25.040Z,"South of the Fiji Islands",earthquake,9.5,4.5,0.089,12,reviewed,us,us
2019-11-30T19:49:21.773Z,-4.3726,131.2315,46.56,4.8,mww,,44,1.765,0.84,us,us70006eu4,2020-02-19T18:58:25.040Z,"220km NW of Tual, Indonesia",earthquake,5.8,5.3,0.093,11,reviewed,us,us
2019-11-30T18:36:42.411Z,53.4212,-160.6874,10,2.8,ml,,250,1.553,0.56,us,us60006r32,2020-02-19T18:58:03.040Z,"169km SSW of Chernabura Island, Alaska",earthquake,5.5,2,0.097,14,reviewed,us,us
2019-11-30T18:22:38.185Z,52.6509,-168.4541,39.21,2.9,ml,,209,0.403,0.34,us,us60006qvu,2020-02-19T18:58:02.040Z,"42km SE of Nikolski, Alaska",earthquake,3.4,14.5,0.115,10,reviewed,us,us
2019-11-30T18:20:07.454Z,37.5105,-97.8127,5,2.6,mb_lg,,85,0.31,0.53,us,us70006etp,2020-02-19T18:58:24.040Z,"13km SSW of Cheney, Kansas",earthquake,1.9,2,0.142,13,reviewed,us,us
2019-11-30T17:59:16.055Z,13.9843,-91.9658,39.47,4.7,mwr,,131,0.597,0.98,us,us70006etm,2020-02-19T18:58:24.040Z,"35km S of Champerico, Guatemala",earthquake,6.6,6,0.083,14,reviewed,us,us
2019-11-30T17:48:19.130Z,19.1058,-67.2685,10,3.08,md,16,216,0.6574,0.62,pr,pr2019334011,2020-02-19T18:58:25.040Z,"82km NNW of San Antonio, Puerto Rico",earthquake,1.91,31.61,0.35,16,reviewed,pr,pr
2019-11-30T16:26:44.402Z,-24.2424,-67.1025,169.92,4.4,mb,,35,1.62,0.93,us,us70006etf,2020-02-19T18:58:24.040Z,"79km W of San Antonio de los Cobres, Argentina",earthquake,9.2,8.4,0.179,9,reviewed,us,us
2019-11-30T16:20:39.313Z,66.326,-157.3449,8,2.5,ml,,,,0.38,ak,ak019fcn584z,2020-02-19T18:58:24.040Z,"67km SSW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-30T16:16:53.567Z,-27.1801,-177.5817,155.88,5.3,mww,,76,2.079,1.05,us,us70006etc,2020-02-19T18:58:24.040Z,"233km N of Raoul Island, New Zealand",earthquake,10.7,4.7,0.062,25,reviewed,us,us
2019-11-30T15:11:27.950Z,18.6613,-65.8601,67,3.19,md,17,277,0.4172,0.12,pr,pr2019334010,2019-11-30T19:59:55.170Z,"25km N of Loiza, Puerto Rico",earthquake,1.56,1.28,0.24,15,reviewed,pr,pr
2019-11-30T14:50:10.863Z,-34.7834,-71.8679,47.39,4.6,mb,,151,0.755,0.75,us,us70006esn,2020-02-19T18:58:24.040Z,"48km WSW of Santa Cruz, Chile",earthquake,6.7,7.2,0.173,10,reviewed,us,us
2019-11-30T14:46:14.747Z,-31.4626,-72.1489,10,4,mwr,,202,0.901,0.84,us,us70006esl,2020-02-19T18:58:24.040Z,"95km W of Illapel, Chile",earthquake,4.4,1.9,,,reviewed,us,guc
2019-11-30T12:42:09.929Z,-15.9615,-172.4714,10,4.3,mb,,106,2.147,0.99,us,us60006pfx,2020-02-19T18:57:58.040Z,"136km E of Hihifo, Tonga",earthquake,4.8,1.9,0.161,13,reviewed,us,us
2019-11-30T12:11:55.866Z,59.7582,-152.5651,78.8,3.3,ml,,,,0.68,ak,ak019fckplav,2020-02-19T18:58:24.040Z,"41km W of Anchor Point, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-30T10:36:39.768Z,19.3353,145.3144,146.64,4.2,mb,,89,4.097,0.45,us,us60006pfp,2020-02-19T18:57:58.040Z,"73km NNW of Agrihan, Northern Mariana Islands",earthquake,12.9,4.4,0.152,13,reviewed,us,us
2019-11-30T10:02:03.573Z,-24.2226,-67.4281,210.73,4.2,mwr,,70,1.44,0.85,us,us70006erl,2020-02-19T18:58:23.040Z,"112km W of San Antonio de los Cobres, Argentina",earthquake,9.9,11.4,,,reviewed,us,guc
2019-11-30T09:50:46.007Z,52.4428,-169.5727,35,2.7,ml,,214,0.356,0.39,us,us60006qvs,2020-02-19T18:58:02.040Z,"72km SW of Nikolski, Alaska",earthquake,6.2,2,0.105,12,reviewed,us,us
2019-11-30T09:50:32.729Z,37.508,-97.8018,5,2.5,ml,,96,0.311,0.14,us,us70006erh,2020-02-19T18:58:23.040Z,"13km S of Cheney, Kansas",earthquake,1.8,1.8,0.069,28,reviewed,us,us
2019-11-30T08:34:40.040Z,18.9603,-67.1118,6,2.85,md,10,219,0.4928,0.6,pr,pr2019334008,2019-11-30T14:51:24.262Z,"51km N of Isabela, Puerto Rico",earthquake,1.65,3.16,0.17,7,reviewed,pr,pr
2019-11-30T07:56:51.677Z,-21.4977,168.743,10,4.6,mb,,96,0.663,0.5,us,us60006pfj,2020-02-19T18:57:58.040Z,"89km E of Tadine, New Caledonia",earthquake,7.4,1.5,0.136,16,reviewed,us,us
2019-11-30T07:44:21.562Z,13.8429,-91.893,19,5.7,mww,,157,0.704,1.17,us,us70006eqm,2020-02-19T18:58:23.040Z,"50km S of Champerico, Guatemala",earthquake,7.4,1.9,0.054,33,reviewed,us,us
2019-11-30T07:34:06.377Z,37.5019,-97.7946,1.89,2.9,mb_lg,,55,0.308,0.22,us,us70006eqe,2020-02-19T18:58:23.040Z,"14km S of Cheney, Kansas",earthquake,1.8,5.6,0.056,82,reviewed,us,us
2019-11-30T07:30:51.666Z,-32.7444,-71.8162,23.32,4.4,mb,,99,0.315,0.68,us,us70006eqd,2020-02-19T18:58:23.040Z,"37km NNW of Valparaiso, Chile",earthquake,5,8.7,0.202,7,reviewed,us,us
2019-11-30T07:02:08.164Z,37.0044,-105.0045,8.17,3.1,ml,,108,0.165,0.21,us,us70006eqa,2020-02-19T18:58:23.040Z,"43km ESE of San Luis, Colorado",earthquake,1.9,8.5,0.064,52,reviewed,us,us
2019-11-30T06:14:02.977Z,36.9565,73.9875,86.99,4.3,mb,,160,1.943,0.72,us,us70006epx,2020-02-19T18:58:23.040Z,"88km NNE of Gakuch, Pakistan",earthquake,8.9,11.5,0.16,11,reviewed,us,us
2019-11-30T05:46:58.705Z,52.0281,179.5524,190.68,3.8,mb,,107,0.086,0.4,us,us60006qvr,2020-02-19T18:58:02.040Z,"9km NNW of Semisopochnoi Island, Alaska",earthquake,8.5,6.6,0.136,14,reviewed,us,us
2019-11-30T05:17:55.970Z,19.072,-67.219,6,3.12,md,11,310,0.8581,0.35,pr,pr2019334006,2020-02-19T18:58:23.040Z,"62km NNW of Isabela, Puerto Rico",earthquake,11.81,10.97,0.38,10,reviewed,pr,pr
2019-11-30T05:11:00.110Z,36.1046667,-117.8583333,2.78,2.7,ml,29,54,0.01319,0.2,ci,ci39211288,2019-12-01T01:34:48.171Z,"10km NE of Coso Junction, CA",earthquake,0.31,0.6,0.159,25,automatic,ci,ci
2019-11-30T04:58:27.190Z,42.7775,-124.4725,16.13,3.54,ml,14,140,,0.2,uw,uw61562171,2020-02-19T18:58:22.040Z,"4km NNE of Port Orford, Oregon",earthquake,0.39,0.85,0.150742453951227,11,reviewed,uw,uw
2019-11-30T04:35:45.683Z,5.838,125.4935,219.41,4.6,mb,,98,1.226,0.87,us,us60006pfi,2020-02-19T18:57:58.040Z,"12km N of Kalbay, Philippines",earthquake,9.8,5.9,0.107,27,reviewed,us,us
2019-11-30T03:50:59.250Z,19.5918,-64.2701,11,3.25,md,5,344,2.1434,0.22,pr,pr2019334003,2020-02-19T18:58:23.040Z,"131km NNE of Road Town, British Virgin Islands",earthquake,11.3,16.2,0.38,4,reviewed,pr,pr
2019-11-30T03:14:11.400Z,18.5686,-66.2301,71,2.66,md,8,246,0.2981,0.3,pr,pr2019334002,2019-11-30T07:55:36.578Z,"12km NNE of Dorado, Puerto Rico",earthquake,2.36,1.57,0.34,7,reviewed,pr,pr
2019-11-30T03:10:52.179Z,34.4096,7.4983,10,4.6,mb,,52,2.009,1.17,us,us70006env,2020-02-19T18:58:22.040Z,"40km W of Tamaghzah, Tunisia",earthquake,5.5,1.9,0.136,16,reviewed,us,us
2019-11-30T02:46:55.041Z,-19.1531,-175.2458,238.17,4.3,mb,,129,5.029,0.72,us,us60006pfh,2020-02-19T18:57:58.040Z,"118km NW of Pangai, Tonga",earthquake,13.2,12,0.154,12,reviewed,us,us
2019-11-30T02:41:38.680Z,19.2875,-67.3745,44,2.86,md,4,326,1.127,0.26,pr,pr2019334005,2020-02-19T18:58:22.040Z,"96km NNW of San Antonio, Puerto Rico",earthquake,4.059,16.87,0.18,4,reviewed,pr,pr
