time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-30T23:52:11.960Z,37.7405014,-121.9238358,10.28,2.74,md,59,28,0.1118,0.1,nc,nc73284340,2019-10-15T21:14:20.088Z,"4km NNE of Dublin, CA",earthquake,0.16,0.39,0.16,67,automatic,nc,nc
2019-09-30T23:15:34.593Z,16.7263,-99.1263,35,4.5,mwr,,125,0.011,0.76,us,us70005p5d,2019-12-20T19:04:09.040Z,"1km SE of Cruz Grande, Mexico",earthquake,4.8,1.9,0.098,10,reviewed,us,us
2019-09-30T23:01:01.927Z,44.6873,-111.8816,12.53,2.9,ml,,89,0.159,0.38,us,us70005p58,2019-12-20T19:04:08.040Z,"56km E of Lima, Montana",earthquake,1.9,7.7,0.052,48,reviewed,us,us
2019-09-30T22:44:15.770Z,19.2346,-67.1973,8,2.92,md,5,336,0.9925,0.18,pr,pr2019273036,2019-09-30T23:31:14.800Z,"82km N of San Antonio, Puerto Rico",earthquake,9.99,14.18,0.08,5,reviewed,pr,pr
2019-09-30T22:37:39.230Z,19.2255,-67.4063,10,2.81,md,7,319,0.8442,0.48,pr,pr2019273035,2019-09-30T22:55:39.471Z,"87km NNW of San Antonio, Puerto Rico",earthquake,3.06,31.61,0.04,5,reviewed,pr,pr
2019-09-30T22:09:47.549Z,51.5463,-178.3979,16.6,2.7,ml,,189,0.259,0.35,us,us70005xit,2019-12-20T19:04:46.040Z,"41km SSW of Tanaga Volcano, Alaska",earthquake,2.7,6.6,,,reviewed,us,ak
2019-09-30T21:47:13.102Z,32.9236,-100.8619,5,4,mwr,,30,0.066,0.99,us,us70005p48,2019-12-20T19:04:08.040Z,"23km NNE of Snyder, Texas",earthquake,3.4,2,0.037,71,reviewed,us,us
2019-09-30T21:31:33.745Z,15.7538,-95.0044,21.54,4.3,mb,,160,0.888,1.15,us,us70005p3x,2019-12-20T19:04:08.040Z,"49km S of San Mateo del Mar, Mexico",earthquake,4.3,8,0.085,39,reviewed,us,us
2019-09-30T21:13:28.587Z,-18.0888,-178.2955,631.39,4,mb,,175,3.493,0.22,us,us70005sli,2019-12-20T19:04:40.040Z,"286km N of Ndoi Island, Fiji",earthquake,12.9,11.6,0.113,21,reviewed,us,us
2019-09-30T21:07:27.221Z,-44.559,167.7959,10,4.3,mb,,63,0.839,1.11,us,us70005p3h,2019-12-20T19:04:08.040Z,"86km NW of Queenstown, New Zealand",earthquake,2.7,1.8,0.154,12,reviewed,us,us
