time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-31T23:44:54.570Z,34.0463333,-117.5028333,3.09,2.72,ml,112,15,0.04081,0.23,ci,ci38614232,2019-07-02T21:43:15.718Z,"4km NNW of Glen Avon, CA",earthquake,0.13,0.24,0.161,246,reviewed,ci,ci
2019-05-31T23:44:49.605Z,39.2155,-99.4316,5,3.5,mwr,,42,0.466,0.87,us,us70003tzp,2019-08-24T21:17:42.040Z,"11km W of Plainville, Kansas",earthquake,3.5,2,0.08,15,reviewed,us,us
2019-05-31T22:58:10.553Z,35.2909,140.3966,33.25,4.5,mwr,,112,1.917,1,us,us70003tzd,2019-08-24T21:17:42.040Z,"4km NNE of Ohara, Japan",earthquake,5.5,4.6,0.066,22,reviewed,us,us
2019-05-31T22:37:42.787Z,63.9182,-148.9093,0,2.7,ml,,,,0.61,ak,ak0196y3gyny,2019-08-24T21:17:42.040Z,"7km NNE of Healy, Alaska",explosion,,0,,,reviewed,ak,ak
2019-05-31T22:11:16.380Z,18.7618,-64.9906,65,2.97,md,6,337,1.0585,0.35,pr,pr2019151016,2019-06-01T01:30:44.661Z,"46km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.26,10.6,0.2,3,reviewed,pr,pr
2019-05-31T22:08:03.450Z,19.9515,-156.422,7.8,2.62,ml,62,170,0.6125,0.19,hv,hv70976796,2019-08-24T21:17:42.040Z,"52km WNW of Kalaoa, Hawaii",earthquake,0.98,1.24,0.098,19,reviewed,hv,hv
2019-05-31T21:52:20.720Z,18.9266,-65.117,40,3.12,md,7,332,1.0728,0.37,pr,pr2019151015,2019-08-24T21:17:41.040Z,"60km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.98,18.95,0.2,5,reviewed,pr,pr
2019-05-31T21:19:52.580Z,44.7273333,-74.5753333,5,2.59,ml,18,59,0.1078,0.2,ld,ld60170556,2019-08-24T21:17:41.040Z,"24km WSW of Malone, New York",earthquake,0.33,31.61,0.154,13,reviewed,ld,ld
2019-05-31T21:18:31.794Z,43.5879,-105.2934,0,3.5,ml,,58,1.054,1.2,us,us70003txy,2019-08-24T21:17:41.040Z,"Wyoming",mining explosion,3.9,1.9,0.049,54,reviewed,us,us
2019-05-31T21:13:55.020Z,18.9851,-65.0878,37,3.31,md,14,325,1.1357,0.28,pr,pr2019151014,2019-08-24T21:17:41.040Z,"69km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.39,13.84,0.38,12,reviewed,pr,pr
2019-05-31T21:10:33.150Z,18.9693,-65.098,41,2.9,md,5,340,1.1171,0.17,pr,pr2019151013,2019-08-24T21:17:41.040Z,"57km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.91,12.75,0.36,4,reviewed,pr,pr
2019-05-31T21:02:42.620Z,18.8833,-64.9998,55,3.31,md,9,333,1.127,0.33,pr,pr2019151012,2019-08-24T21:17:41.040Z,"52km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.36,11.79,0.1,6,reviewed,pr,pr
2019-05-31T21:02:41.820Z,33.8374,-39.032,10,4.6,mb,,119,20.744,0.8,us,us70003ty7,2019-08-24T21:17:41.040Z,"Northern Mid-Atlantic Ridge",earthquake,13.1,1.9,0.083,43,reviewed,us,us
2019-05-31T20:58:01.453Z,-4.9096,151.4307,10,4.5,mb,,152,1.021,0.79,us,us70003wsc,2019-08-24T21:17:41.040Z,"111km SW of Kokopo, Papua New Guinea",earthquake,8,1.9,0.191,9,reviewed,us,us
2019-05-31T20:44:14.731Z,51.297,-178.3309,35,2.6,ml,,257,0.54,0.38,us,us600041tz,2019-08-24T21:17:41.040Z,"54km E of Amatignak Island, Alaska",earthquake,3.9,2,,,reviewed,us,ak
2019-05-31T20:31:21.748Z,-24.8703,179.9392,501.18,4.2,mb,,237,4.753,1.13,us,us70003wsa,2019-08-24T21:17:41.040Z,"South of the Fiji Islands",earthquake,20.1,12.4,0.199,9,reviewed,us,us
2019-05-31T20:24:15.147Z,-24.9768,179.8833,490.17,4.3,mb,,97,7.395,0.98,us,us70003wsb,2019-08-24T21:17:41.040Z,"South of the Fiji Islands",earthquake,13.9,8.6,0.142,15,reviewed,us,us
2019-05-31T20:18:31.890Z,18.419,-68.9956,103,3.19,md,13,225,0.8918,0.1,pr,pr2019151011,2019-06-01T01:28:59.950Z,"2km WSW of La Romana, Dominican Republic",earthquake,1.47,1.72,0.4,9,reviewed,pr,pr
2019-05-31T19:59:52.417Z,-6.6469,142.9325,10,4.9,mb,,40,4.667,0.87,us,us70003tw9,2019-08-24T21:17:41.040Z,"95km WSW of Mendi, Papua New Guinea",earthquake,4.6,1.8,0.061,84,reviewed,us,us
2019-05-31T19:58:07.018Z,-21.1709,-178.9825,602.53,4.5,mb,,65,4.408,0.69,us,us70003ws9,2019-08-24T21:17:40.040Z,"64km SSW of Ndoi Island, Fiji",earthquake,10.9,6.3,0.051,113,reviewed,us,us
2019-05-31T19:37:43.908Z,50.5591,179.2158,10,2.9,ml,,338,1.721,0.54,us,us600041tx,2019-08-24T21:17:40.040Z,"141km WSW of Amatignak Island, Alaska",earthquake,11.3,2,,,reviewed,us,ak
2019-05-31T19:35:16.025Z,-20.6961,173.4047,10,4.8,mb,,148,5.282,0.43,us,us70003ws8,2019-08-24T21:17:40.040Z,"169km NW of Ceva-i-Ra, Fiji",earthquake,5.6,1.9,0.144,15,reviewed,us,us
2019-05-31T19:29:07.979Z,10.6905,-62.5334,67.6,4.6,mb,,132,1.672,0.65,us,us70003tvh,2019-08-24T21:17:40.040Z,"14km NNE of Irapa, Venezuela",earthquake,9.4,7.8,0.194,8,reviewed,us,us
2019-05-31T19:26:53.733Z,54.5208,-163.5471,82.35,3,ml,,168,0.226,0.38,us,us600041tw,2019-08-24T21:17:40.040Z,"37km SSW of False Pass, Alaska",earthquake,4.1,6.7,0.091,16,reviewed,us,us
2019-05-31T19:23:55.860Z,39.347,-123.2448333,6.71,2.68,md,33,63,0.1414,0.07,nc,nc73190656,2019-06-03T20:44:03.156Z,"10km NNW of Redwood Valley, CA",earthquake,0.14,0.67,0.163,33,reviewed,nc,nc
2019-05-31T18:29:04.280Z,34.0456667,-117.5046667,3.21,2.52,ml,103,19,0.04077,0.2,ci,ci38613720,2019-07-02T21:41:51.344Z,"4km NNW of Glen Avon, CA",earthquake,0.11,0.21,0.165,180,reviewed,ci,ci
2019-05-31T17:50:29.791Z,-4.9414,151.4526,9.28,5.4,mww,,39,1.028,0.66,us,us70003tue,2019-08-24T21:17:40.040Z,"111km SW of Kokopo, Papua New Guinea",earthquake,5.9,3.7,0.065,23,reviewed,us,us
2019-05-31T17:27:40.720Z,38.8608333,-112.0713333,7.68,2.64,ml,29,59,0.08588,0.18,uu,uu60326372,2019-08-24T21:17:40.040Z,"9km N of Richfield, Utah",earthquake,0.38,0.58,0.113,14,reviewed,uu,uu
2019-05-31T16:01:33.047Z,36.8669,75.8543,35,4.5,mb,,119,3.413,1.37,us,us70003tqw,2019-08-24T21:17:40.040Z,"121km ENE of Barishal, Pakistan",earthquake,8.9,2,0.113,23,reviewed,us,us
2019-05-31T15:53:17.529Z,22.8809,120.4814,10,4.6,mb,,59,0.439,0.64,us,us70003tqt,2019-08-24T21:17:40.040Z,"23km N of Pingtung, Taiwan",earthquake,2.5,1.9,0.077,51,reviewed,us,us
2019-05-31T15:12:28.107Z,51.3989,-176.1036,30.52,2.8,ml,,236,0.604,0.25,us,us70003ws3,2019-08-24T21:17:40.040Z,"65km SE of Adak, Alaska",earthquake,4,18.9,,,reviewed,us,ak
2019-05-31T14:39:06.982Z,-15.593,-172.6537,10,4.5,mb,,67,1.876,0.54,us,us70003tpx,2019-08-24T21:17:40.040Z,"123km ENE of Hihifo, Tonga",earthquake,10.5,1.9,0.06,82,reviewed,us,us
2019-05-31T14:21:57.378Z,65.6307,-143.7605,11.3,3,ml,,,,0.63,ak,ak0196xym3g3,2019-08-24T21:17:40.040Z,"25km SSE of Circle, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-05-31T14:06:38.402Z,1.1677,97.1918,30.42,4.6,mwr,,154,0.406,0.71,us,us70003tph,2019-08-24T21:17:40.040Z,"170km SSE of Sinabang, Indonesia",earthquake,7.9,5.7,0.089,12,reviewed,us,us
2019-05-31T13:55:32.800Z,-6.078,122.4128,10,4.9,mb,,59,2.547,0.86,us,us70003tpb,2019-08-24T21:17:40.040Z,"71km SSW of Baubau, Indonesia",earthquake,5.4,1.7,0.08,49,reviewed,us,us
2019-05-31T13:48:56.781Z,42.7941,141.9579,47.54,4.3,mb,,71,1.181,0.53,us,us70003wrx,2019-08-24T21:17:40.040Z,"25km E of Chitose, Japan",earthquake,3.5,7.9,0.08,45,reviewed,us,us
2019-05-31T13:39:44.900Z,34.0415,-117.5068333,3.42,2.91,ml,115,12,0.04398,0.21,ci,ci38613000,2019-07-02T21:54:06.858Z,"4km NNW of Glen Avon, CA",earthquake,0.11,0.2,0.168,167,reviewed,ci,ci
2019-05-31T13:32:02.813Z,-1.6469,124.2065,58.19,4.4,mb,,56,1.555,0.65,us,us70003wrw,2019-08-24T21:17:40.040Z,"38km NNW of Bobong, Indonesia",earthquake,7.3,4.7,0.162,11,reviewed,us,us
2019-05-31T13:27:20.923Z,-14.3529,173.8812,625.67,4.2,mb,,80,5.239,0.73,us,us70003wrv,2019-08-24T21:17:40.040Z,"Fiji region",earthquake,15.2,8.4,0.06,77,reviewed,us,us
2019-05-31T12:31:17.910Z,34.0433333,-117.505,3.54,2.57,ml,117,19,0.04281,0.2,ci,ci38612840,2019-07-02T21:56:13.853Z,"4km NNW of Glen Avon, CA",earthquake,0.11,0.18,0.153,154,reviewed,ci,ci
2019-05-31T12:22:22.001Z,-47.5312,-75.4752,10,4.6,mwr,,141,1.979,0.8,us,us70003tn8,2019-08-24T21:17:40.040Z,"221km W of Cochrane, Chile",earthquake,8.6,1.9,,,reviewed,us,guc
2019-05-31T12:00:22.453Z,-25.3467,70.2001,10,4.3,mb,,98,40.013,0.97,us,us70003wrs,2019-08-24T21:17:39.040Z,"Mid-Indian Ridge",earthquake,9.9,1.9,0.169,10,reviewed,us,us
2019-05-31T11:57:24.661Z,18.7604,-107.1447,10,5.8,mww,,68,3.361,0.72,us,us70003tn5,2019-08-24T21:17:39.040Z,"237km WSW of Tomatlan, Mexico",earthquake,8.2,1.8,0.034,84,reviewed,us,us
2019-05-31T11:56:02.875Z,-25.3986,70.0417,10,4.6,mb,,64,39.861,0.91,us,us70003wru,2019-08-24T21:17:39.040Z,"Mid-Indian Ridge",earthquake,13.8,1.9,0.125,19,reviewed,us,us
2019-05-31T11:46:19.336Z,60.9405,-27.9155,10,4.2,mb,,198,4.867,0.85,us,us70003ws2,2019-08-24T21:17:39.040Z,"Reykjanes Ridge",earthquake,11.3,2,0.158,11,reviewed,us,us
2019-05-31T10:36:01.928Z,66.295,-157.1801,7.8,3.5,ml,,,,0.63,ak,ak0196xwbgi3,2019-08-24T21:17:39.040Z,"69km S of Kobuk, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-05-31T10:12:32.876Z,6.2795,126.479,98.72,6.1,mww,,26,1.189,0.74,us,us70003tl7,2019-08-24T21:17:39.040Z,"34km ESE of Pondaguitan, Philippines",earthquake,6.2,4.6,0.048,41,reviewed,us,us
2019-05-31T09:33:11.720Z,53.0563,-162.1251,10,2.9,ml,,235,1.918,0.64,us,us600041tk,2019-08-24T21:17:39.040Z,"216km SSE of False Pass, Alaska",earthquake,3,2,0.085,18,reviewed,us,us
2019-05-31T08:36:56.570Z,19.0838,-64.9573,16,3.38,md,16,316,1.2967,0.3,pr,pr2019151009,2019-08-24T21:17:39.040Z,"64km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,8.2,16.57,0.27,14,reviewed,pr,pr
2019-05-31T07:49:57.590Z,19.4631,-65.625,30,3.37,md,19,284,1.2418,0.4,pr,pr2019151005,2019-08-24T21:17:39.040Z,"102km NNE of Vieques, Puerto Rico",earthquake,2.13,26.74,0.37,17,reviewed,pr,pr
2019-05-31T07:36:50.327Z,15.3963,-104.8104,10,4.6,mb,,207,3.889,0.89,us,us70003tkb,2019-08-24T21:17:39.040Z,"Off the coast of Michoacan, Mexico",earthquake,10.1,2,0.056,94,reviewed,us,us
2019-05-31T07:25:09.790Z,-18.6753,-69.3507,120.16,4.8,mb,,83,0.369,0.57,us,us70003tk2,2019-08-24T21:17:39.040Z,"57km SSE of Putre, Chile",earthquake,5.7,5.1,0.072,59,reviewed,us,us
2019-05-31T06:37:53.792Z,-7.218,117.5097,571.99,5.4,mww,,41,3.124,0.87,us,us70003tjb,2019-08-24T21:17:39.040Z,"105km NNW of Labuhankananga, Indonesia",earthquake,8.2,7.6,0.069,20,reviewed,us,us
2019-05-31T06:30:32.220Z,19.1958,-64.5773,37,3.43,md,7,340,1.6514,0.37,pr,pr2019151008,2019-08-24T21:17:38.040Z,"86km N of Road Town, British Virgin Islands",earthquake,4.34,26.66,0.14,5,reviewed,pr,pr
2019-05-31T05:27:08.353Z,42.7663,145.5912,35,4.4,mb,,176,1.953,1.04,us,us70003tj1,2019-08-24T21:17:38.040Z,"61km S of Nemuro, Japan",earthquake,10.8,2,0.076,49,reviewed,us,us
2019-05-31T04:50:28.310Z,19.451,-64.735,49,2.63,md,3,345,1.7186,0.17,pr,pr2019151007,2019-08-24T21:17:38.040Z,"87km NNW of Road Town, British Virgin Islands",earthquake,3.66,15.46,0.04,3,reviewed,pr,pr
2019-05-31T04:40:19.330Z,19.2321,-64.4146,82,3.5,md,12,342,1.8015,0.71,pr,pr2019151006,2019-08-24T21:17:38.040Z,"92km NNE of Road Town, British Virgin Islands",earthquake,9.23,21.72,0.29,12,reviewed,pr,pr
